keyword,match_type,source_campaign,block_reason
deeplife,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deep life,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deeplife simulator,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deep life simulator,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deeplife sim,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deep life sim,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deeplife game,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deep life game,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deeplife simulation,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deeplife plus,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deeplife app,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deaplife,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deeplife simulater,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deep life simulater,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
deeplife sumilator,EXACT,DLS-US-Brand-Exact,Bid on in brand campaign — must not re-match in Discovery
life simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
life sim,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
life simulator game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
life simulation game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
life sim game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
realistic life simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
real life simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
virtual life game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
virtual life simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
my life simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
live another life game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
adulthood simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
growing up game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
life story game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
life rpg,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
text life simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
life choices game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
human life simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
get rich game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
money simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
billionaire simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
billionaire game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
millionaire game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
rich life game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
wealth simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
rags to riches game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
money management game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
financial simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
debt simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
bankruptcy game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
net worth game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
career simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
career game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
job simulator game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
work life simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
ceo simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
corporate ladder game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
office simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
salary simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
stock market game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
stock market simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
stock simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
trading simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
investing game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
investing simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
stock trading game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
crypto trading game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
crypto simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
day trading game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
wall street game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
portfolio simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
tycoon game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
business simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
business tycoon,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
business game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
entrepreneur game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
startup simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
company simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
empire building game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
business empire game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
management simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
real estate tycoon,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
real estate game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
property tycoon,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
real estate simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
landlord simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
landlord game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
house flipping game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
property empire game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
crime simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
criminal life simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
crime life game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
mafia game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
gangster game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
drug dealer game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
dark web game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
hacker simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
money laundering game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
underworld game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
choices game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
life choices simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
choice based game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
decision game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
interactive story game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
text based game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
story simulator,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
choose your own adventure game,EXACT,DLS-US-Category-Exact,Bid on in category campaign — must not re-match in Discovery
bitlife,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
bit life,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
bitlife simulator,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
bitlife life simulator,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
games like bitlife,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
bitlife alternative,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
apps like bitlife,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
better than bitlife,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
altlife,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
alt life,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
instlife,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
life simulator 3,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
hobo life,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
my success story,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
the sims mobile,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
avakin life,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
virtual families,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
alter ego game,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
adventure capitalist,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
cash inc,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
idle bank tycoon,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
landlord go,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
taps to riches,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
billionaire capitalist,EXACT,DLS-US-Competitor-Exact,Bid on in competitor campaign — must not re-match in Discovery
