campaign,ad_group,keyword,match_type,max_cpt_usd,rationale
DLS-US-Competitor-Exact,BitLife,bitlife,EXACT,1.50,Category-defining rival; highest volume conquest term
DLS-US-Competitor-Exact,BitLife,bit life,EXACT,1.40,Spaced spelling
DLS-US-Competitor-Exact,BitLife,bitlife simulator,EXACT,1.30,Qualified brand
DLS-US-Competitor-Exact,BitLife,bitlife life simulator,EXACT,1.30,Full store title
DLS-US-Competitor-Exact,BitLife,games like bitlife,EXACT,1.60,Best term in the account for a switcher — explicit alternative intent
DLS-US-Competitor-Exact,BitLife,bitlife alternative,EXACT,1.60,Explicit alternative intent
DLS-US-Competitor-Exact,BitLife,apps like bitlife,EXACT,1.50,Explicit alternative intent
DLS-US-Competitor-Exact,BitLife,better than bitlife,EXACT,1.40,Explicit alternative intent; low volume
DLS-US-Competitor-Exact,LifeSim-Rivals,altlife,EXACT,1.10,Direct life-sim rival
DLS-US-Competitor-Exact,LifeSim-Rivals,alt life,EXACT,1.00,Spaced spelling
DLS-US-Competitor-Exact,LifeSim-Rivals,instlife,EXACT,1.00,Direct life-sim rival
DLS-US-Competitor-Exact,LifeSim-Rivals,life simulator 3,EXACT,1.00,Direct rival title
DLS-US-Competitor-Exact,LifeSim-Rivals,hobo life,EXACT,0.90,Rags-to-riches rival — premise overlaps this app's opening
DLS-US-Competitor-Exact,LifeSim-Rivals,my success story,EXACT,0.90,Career/wealth life-sim rival
DLS-US-Competitor-Exact,LifeSim-Rivals,the sims mobile,EXACT,0.90,Adjacent giant; expect poor CR — first candidate to cut
DLS-US-Competitor-Exact,LifeSim-Rivals,avakin life,EXACT,0.80,Adjacent virtual-life title; social-first audience, monitor CR
DLS-US-Competitor-Exact,LifeSim-Rivals,virtual families,EXACT,0.75,Adjacent family-sim audience
DLS-US-Competitor-Exact,LifeSim-Rivals,alter ego game,EXACT,0.70,The genre's original; small but perfectly matched audience
DLS-US-Competitor-Exact,Tycoon-Rivals,adventure capitalist,EXACT,0.90,Idle/tycoon rival with wealth fantasy overlap
DLS-US-Competitor-Exact,Tycoon-Rivals,cash inc,EXACT,0.80,Idle tycoon rival
DLS-US-Competitor-Exact,Tycoon-Rivals,idle bank tycoon,EXACT,0.80,Money-management tycoon rival
DLS-US-Competitor-Exact,Tycoon-Rivals,landlord go,EXACT,0.80,Real-estate rival; maps to the RealEstate CPP
DLS-US-Competitor-Exact,Tycoon-Rivals,taps to riches,EXACT,0.70,Idle wealth rival
DLS-US-Competitor-Exact,Tycoon-Rivals,billionaire capitalist,EXACT,0.70,Idle wealth rival
