campaign,ad_group,keyword,match_type,max_cpt_usd,rationale
DLS-US-Discovery-Broad,Discovery-Broad,life simulator,BROAD,0.50,Seed — mines the life-sim long tail
DLS-US-Discovery-Broad,Discovery-Broad,life sim game,BROAD,0.50,Seed
DLS-US-Discovery-Broad,Discovery-Broad,get rich game,BROAD,0.50,Seed — mines wealth-fantasy phrasings
DLS-US-Discovery-Broad,Discovery-Broad,money simulator,BROAD,0.50,Seed
DLS-US-Discovery-Broad,Discovery-Broad,career simulator,BROAD,0.50,Seed
DLS-US-Discovery-Broad,Discovery-Broad,business simulator,BROAD,0.50,Seed
DLS-US-Discovery-Broad,Discovery-Broad,tycoon game,BROAD,0.50,Seed
DLS-US-Discovery-Broad,Discovery-Broad,stock market game,BROAD,0.50,Seed
DLS-US-Discovery-Broad,Discovery-Broad,real estate game,BROAD,0.50,Seed
DLS-US-Discovery-Broad,Discovery-Broad,crime simulator,BROAD,0.45,Seed
DLS-US-Discovery-Broad,Discovery-Broad,choices game,BROAD,0.45,Seed
DLS-US-Discovery-Broad,Discovery-Broad,simulation game,BROAD,0.40,Wide seed — carries the highest waste risk; review its search terms first each week
DLS-US-Discovery-Broad,Discovery-SearchMatch,,SEARCH_MATCH,0.45,Second ad group in the same campaign — no keywords by design; Search Match matches against the product page metadata
